origin,year,month,day,dep_time,temp,dewp,humid,wind_speed,visib
EWR,2013,1,1,0,37.04,21.92,53.97,10.35702,10.0
EWR,2013,1,1,100,37.04,21.92,53.97,13.80936,10.0
EWR,2013,1,1,200,37.94,21.92,52.09,12.65858,10.0
EWR,2013,1,1,300,37.94,23.0,54.51,13.80936,10.0
EWR,2013,1,1,400,37.94,24.08,57.04,14.96014,10.0
EWR,2013,1,1,600,39.02,26.06,59.37,10.35702,10.0
EWR,2013,1,1,700,39.02,26.96,61.63,8.05546,10.0
EWR,2013,1,1,800,39.02,28.04,64.43,11.5078,10.0
EWR,2013,1,1,900,39.92,28.04,62.21,12.65858,10.0
EWR,2013,1,1,1000,39.02,28.04,64.43,12.65858,10.0
EWR,2013,1,1,1100,37.94,28.04,67.21,11.5078,10.0
EWR,2013,1,1,1200,39.02,28.04,64.43,14.96014,10.0
EWR,2013,1,1,1300,39.92,28.04,62.21,10.35702,10.0
EWR,2013,1,1,1400,39.92,28.04,62.21,14.96014,10.0
EWR,2013,1,1,1500,41.0,28.04,59.65,13.80936,10.0
EWR,2013,1,1,1600,41.0,26.96,57.06,14.96014,10.0
EWR,2013,1,1,1700,39.2,28.4,64.93,16.11092,10.0
EWR,2013,1,1,1800,39.2,28.4,64.93,14.96014,10.0
EWR,2013,1,1,1900,39.02,24.08,54.68,13.80936,10.0
EWR,2013,1,1,2000,37.94,24.08,57.04,9.20624,10.0
EWR,2013,1,1,2100,37.04,19.94,49.62,13.80936,10.0
EWR,2013,1,1,2200,35.96,19.04,49.83,11.5078,10.0
EWR,2013,1,1,2300,33.98,15.08,45.43,12.65858,10.0
EWR,2013,1,2,0,33.08,12.92,42.84,10.35702,10.0
EWR,2013,1,2,100,32.0,15.08,49.19,14.96014,10.0
EWR,2013,1,2,200,30.02,12.92,48.48,18.41248,10.0
EWR,2013,1,2,300,28.94,12.02,48.69,18.41248,10.0
EWR,2013,1,2,400,28.04,10.94,48.15,16.11092,10.0
EWR,2013,1,2,500,26.96,10.94,50.34,14.96014,10.0
EWR,2013,1,2,600,26.06,10.94,52.25,12.65858,10.0
EWR,2013,1,2,700,24.98,10.94,54.65,13.80936,10.0
EWR,2013,1,2,800,24.08,8.96,51.93,14.96014,10.0
EWR,2013,1,2,900,24.08,8.96,51.93,12.65858,10.0
EWR,2013,1,2,1000,24.08,8.96,51.93,6.90468,10.0
EWR,2013,1,2,1100,24.08,8.96,51.93,3.45234,10.0
EWR,2013,1,2,1200,24.98,10.04,52.5,6.90468,10.0
EWR,2013,1,2,1300,24.98,10.04,52.5,9.20624,10.0
EWR,2013,1,2,1400,26.96,10.04,48.36,11.5078,10.0
EWR,2013,1,2,1500,28.94,10.94,46.41,9.20624,10.0
EWR,2013,1,2,1600,30.92,12.02,44.92,14.96014,10.0
EWR,2013,1,2,1700,32.0,12.92,44.74,12.65858,10.0
EWR,2013,1,2,1800,33.98,12.92,41.33,16.11092,10.0
EWR,2013,1,2,1900,33.98,10.94,37.86,17.2617,10.0
EWR,2013,1,2,2000,33.98,12.02,39.72,13.80936,10.0
